For learning rate: 0.01 | Train Loss: 9.328320503234863 | Val Loss: 6.611912250518799 | Norm: 4.793776512145996
For learning rate: 0.009 | Train Loss: 6.28485631942749 | Val Loss: 6.451755046844482 | Norm: 0.7375621795654297
For learning rate: 0.005 | Train Loss: 6.391183376312256 | Val Loss: 6.67860746383667 | Norm: 0.5051847696304321
For learning rate: 0.003 | Train Loss: 6.912900924682617 | Val Loss: 6.382297039031982 | Norm: 1.2199336290359497
For learning rate: 0.002 | Train Loss: 6.361489772796631 | Val Loss: 6.239935398101807 | Norm: 0.4727155864238739
For learning rate: 0.001 | Train Loss: 6.173257827758789 | Val Loss: 7.451197147369385 | Norm: 0.4545997381210327 
For learning rate: 0.0009 | Train Loss: 6.230411052703857 | Val Loss: 6.2468719482421875 | Norm: 0.5285805463790894
For learning rate: 0.0006 | Train Loss: 6.293982028961182 | Val Loss: 6.292485237121582 | Norm: 0.5951013565063477
For learning rate: 0.0005 | Train Loss: 6.397467613220215 | Val Loss: 6.346867084503174 | Norm: 1.0417163372039795
For learning rate: 0.0003 | Train Loss: 6.326703071594238 | Val Loss: 5.999286651611328 | Norm: 0.45622873306274414
For learning rate: 0.0001 | Train Loss: 6.088479518890381 | Val Loss: 6.228084087371826 | Norm: 0.49899306893348694
For learning rate: 9e-05 | Train Loss: 6.445308685302734 | Val Loss: 6.146215915679932 | Norm: 0.6383864283561707
For learning rate: 6e-05 | Train Loss: 6.46547269821167 | Val Loss: 6.187079906463623 | Norm: 0.6316097974777222
For learning rate: 3e-05 | Train Loss: 6.1094279289245605 | Val Loss: 6.576358318328857 | Norm: 0.46295779943466187
For learning rate: 9e-06 | Train Loss: 6.1046552658081055 | Val Loss: 6.485282897949219 | Norm: 0.49504002928733826
For learning rate: 5e-07 | Train Loss: 6.139522552490234 | Val Loss: 6.345527172088623 | Norm: 0.42239251732826233
